Material,E (GPa),Rho (kg/m3),Mass (kg),K_Value,p1_Value,Cc_Value,COR_0.0,COR_0.1,COR_0.2,COR_0.3,COR_0.4,COR_0.5,COR_0.6,COR_0.7,COR_0.8,COR_0.9,COR_1.0
Steel,200.000000,7850,32.882003,82205.000000,-82205.007800,3288.200300,6576.401000,2476.681000,1860.157000,1387.229000,1036.031000,766.722000,552.826000,378.567000,232.397000,108.165000,0.000000
Aluminum,70.000000,2700,11.309734,28274.300000,-28274.333900,1130.973400,2261.947000,851.852000,639.799000,477.136000,356.342000,263.713000,190.144000,130.208000,79.933000,37.203000,0.000000
Copper,120.000000,8960,37.531560,93828.900000,-93828.900600,3753.156000,7506.312000,2826.887000,2123.186000,1583.385000,1182.527000,875.138000,630.996000,432.097000,265.258000,123.460000,0.000000
Glass,70.000000,2500,10.471976,26179.900000,-26179.938800,1047.197600,2094.395000,788.752000,592.407000,441.793000,329.946000,244.179000,176.059000,120.563000,74.012000,34.447000,0.000000
Plastic_PC,2.300000,1200,5.026548,12566.400000,-12566.370600,502.654800,1005.310000,378.601000,284.355000,212.061000,158.374000,117.206000,84.508000,57.870000,35.526000,16.535000,0.000000
TPU,0.100000,1200,5.026548,12566.400000,-12566.370600,502.654800,1005.310000,378.601000,284.355000,212.061000,158.374000,117.206000,84.508000,57.870000,35.526000,16.535000,0.000000
Hard_Rubber,0.050000,1100,4.607669,10989.000000,-10989.011000,450.038800,900.078000,336.989000,253.766000,189.479000,141.592000,104.835000,75.648000,51.760000,31.825000,14.770000,0.000000
Soft_Rubber,0.005000,1000,4.188790,1098.900000,-1098.901100,135.691800,271.384000,77.590000,62.072000,49.287000,38.380000,29.246000,21.573000,15.060000,9.453000,4.438000,0.000000
Paper,0.200000,800,3.351032,8377.600000,-8377.580400,335.103200,670.206000,252.401000,189.570000,141.374000,105.583000,78.137000,56.339000,38.580000,23.684000,11.023000,0.000000
EPS_Foam,0.010000,20,0.083776,209.400000,-209.439500,8.377600,16.755000,6.310000,4.739000,3.534000,2.640000,1.953000,1.408000,0.965000,0.592000,0.276000,0.000000
PSA_Adhesive,0.001000,900,3.769911,219.800000,-219.780200,57.569200,115.138000,32.037000,25.117000,19.846000,15.582000,12.034000,8.979000,6.319000,3.965000,1.867000,0.000000
